,Survived,SibSp,Parch,Fare,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_Unknown,Age_Adult,Age_Child,Age_Elderly,Age_Unknown
611,0,0,0,7.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
612,1,1,0,15.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
613,0,0,0,7.75,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
614,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
615,1,1,2,65.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
616,0,1,1,14.4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
617,0,1,0,16.1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
618,1,2,1,39.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
619,0,0,0,10.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
620,0,1,0,14.4542,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
621,1,1,0,52.5542,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
622,1,1,1,15.7417,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
623,0,0,0,7.8542,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
624,0,0,0,16.1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
625,0,0,0,32.3208,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
626,0,0,0,12.35,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
627,1,0,0,77.9583,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
628,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
629,0,0,0,7.7333,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
630,1,0,0,30.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
631,0,0,0,7.0542,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
632,1,0,0,30.5,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
633,0,0,0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
634,0,3,2,27.9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
635,1,0,0,13.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
636,0,0,0,7.925,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
637,0,1,1,26.25,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
638,0,0,5,39.6875,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
639,0,1,0,16.1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
640,0,0,0,7.8542,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
641,1,0,0,69.3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
642,0,3,2,27.9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
643,1,0,0,56.4958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
644,1,2,1,19.2583,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
645,1,1,0,76.7292,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
646,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
647,1,0,0,35.5,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
648,0,0,0,7.55,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
649,1,0,0,7.55,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
650,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
651,1,0,1,23.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
652,0,0,0,8.4333,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
653,1,0,0,7.8292,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
654,0,0,0,6.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
655,0,2,0,73.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
656,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
657,0,1,1,15.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
658,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
659,0,0,2,113.275,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
660,1,2,0,133.65,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
661,0,0,0,7.225,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
662,0,0,0,25.5875,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
663,0,0,0,7.4958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
664,1,1,0,7.925,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
665,0,2,0,73.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
666,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
667,0,0,0,7.775,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
668,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
669,1,1,0,52.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
670,1,1,1,39.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
671,0,1,0,52.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
672,0,0,0,10.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
673,1,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
674,0,0,0,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
675,0,0,0,7.775,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
676,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
677,1,0,0,9.8417,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
678,0,1,6,46.9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
679,1,0,1,512.3292,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
680,0,0,0,8.1375,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
681,1,0,0,76.7292,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
682,0,0,0,9.225,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
683,0,5,2,46.9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
684,0,1,1,39.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
685,0,1,2,41.5792,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
686,0,4,1,39.6875,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
687,0,0,0,10.1708,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
688,0,0,0,7.7958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
689,1,0,1,211.3375,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
690,1,1,0,57.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
691,1,0,1,13.4167,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
692,1,0,0,56.4958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
693,0,0,0,7.225,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
694,0,0,0,26.55,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
695,0,0,0,13.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
696,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
697,1,0,0,7.7333,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
698,0,1,1,110.8833,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
699,0,0,0,7.65,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
700,1,1,0,227.525,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
701,1,0,0,26.2875,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
702,0,0,1,14.4542,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
703,0,0,0,7.7417,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
704,0,1,0,7.8542,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
705,0,0,0,26.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
706,1,0,0,13.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
707,1,0,0,26.2875,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
708,1,0,0,151.55,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
709,1,1,1,15.2458,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
710,1,0,0,49.5042,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
711,0,0,0,26.55,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
712,1,1,0,52.0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
713,0,0,0,9.4833,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
714,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
715,0,0,0,7.65,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
716,1,0,0,227.525,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
717,1,0,0,10.5,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
718,0,0,0,15.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
719,0,0,0,7.775,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
720,1,0,1,33.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
721,0,1,0,7.0542,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
722,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
723,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
724,1,1,0,53.1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
725,0,0,0,8.6625,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
726,1,3,0,21.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
727,1,0,0,7.7375,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
728,0,1,0,26.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
729,0,1,0,7.925,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
730,1,0,0,211.3375,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
731,0,0,0,18.7875,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
732,0,0,0,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
733,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
734,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
735,0,0,0,16.1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
736,0,1,3,34.375,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
737,1,0,0,512.3292,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
738,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
739,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
740,1,0,0,30.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
741,0,1,0,78.85,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
742,1,2,2,262.375,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
743,0,1,0,16.1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
744,1,0,0,7.925,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
745,0,1,1,71.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
746,0,1,1,20.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
747,1,0,0,13.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
748,0,1,0,53.1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
749,0,0,0,7.75,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
750,1,1,1,23.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
751,1,0,1,12.475,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
752,0,0,0,9.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
753,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
754,1,1,2,65.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
755,1,1,1,14.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
756,0,0,0,7.7958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
757,0,0,0,11.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
758,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
759,1,0,0,86.5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
760,0,0,0,14.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
761,0,0,0,7.125,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
762,1,0,0,7.2292,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
763,1,1,2,120.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
764,0,0,0,7.775,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
765,1,1,0,77.9583,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
766,0,0,0,39.6,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
767,0,0,0,7.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
768,0,1,0,24.15,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
769,0,0,0,8.3625,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
770,0,0,0,9.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
771,0,0,0,7.8542,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
772,0,0,0,10.5,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
773,0,0,0,7.225,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
774,1,1,3,23.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
775,0,0,0,7.75,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
776,0,0,0,7.75,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
777,1,0,0,12.475,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
778,0,0,0,7.7375,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
779,1,0,1,211.3375,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
780,1,0,0,7.2292,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
781,1,1,0,57.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
782,0,0,0,30.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
783,0,1,2,23.45,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
784,0,0,0,7.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
785,0,0,0,7.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
786,1,0,0,7.4958,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
787,0,4,1,29.125,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
788,1,1,2,20.575,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
789,0,0,0,79.2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
790,0,0,0,7.75,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
791,0,0,0,26.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
792,0,8,2,69.55,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
793,0,0,0,30.6958,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
794,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
795,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
796,1,0,0,25.9292,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
797,1,0,0,8.6833,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
798,0,0,0,7.2292,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
799,0,1,1,24.15,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
800,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
801,1,1,1,26.25,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
802,1,1,2,120.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
803,1,0,1,8.5167,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
804,1,0,0,6.975,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
805,0,0,0,7.775,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
806,0,0,0,0.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
807,0,0,0,7.775,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
808,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
809,1,1,0,53.1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
810,0,0,0,7.8875,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
811,0,0,0,24.15,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
812,0,0,0,10.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
813,0,4,2,31.275,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
814,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
815,0,0,0,0.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
816,0,0,0,7.925,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
817,0,1,1,37.0042,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
818,0,0,0,6.45,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
819,0,3,2,27.9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
820,1,1,1,93.5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
821,1,0,0,8.6625,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
822,0,0,0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
823,1,0,1,12.475,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
824,0,4,1,39.6875,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
825,0,0,0,6.95,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
826,0,0,0,56.4958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
827,1,0,2,37.0042,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
828,1,0,0,7.75,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
830,1,1,0,14.4542,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
831,1,1,1,18.75,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
832,0,0,0,7.2292,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
833,0,0,0,7.8542,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
834,0,0,0,8.3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
835,1,1,1,83.1583,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
836,0,0,0,8.6625,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
837,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
838,1,0,0,56.4958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
839,1,0,0,29.7,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
840,0,0,0,7.925,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
841,0,0,0,10.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
842,1,0,0,31.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
843,0,0,0,6.4375,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
844,0,0,0,8.6625,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
845,0,0,0,7.55,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
