,Survived,SibSp,Parch,Fare,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_Unknown,Age_Adult,Age_Child,Age_Elderly,Age_Unknown
51,0,0,0,7.8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
52,1,1,0,76.7292,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
53,1,1,0,26.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
54,0,0,1,61.9792,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
55,1,0,0,35.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
56,1,0,0,10.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
57,0,0,0,7.2292,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
58,1,1,2,27.75,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
59,0,5,2,46.9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
60,0,0,0,7.2292,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
62,0,1,0,83.475,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
63,0,3,2,27.9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
64,0,0,0,27.7208,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
65,1,1,1,15.2458,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
66,1,0,0,10.5,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
67,0,0,0,8.1583,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
68,1,4,2,7.925,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
69,0,2,0,8.6625,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
70,0,0,0,10.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
71,0,5,2,46.9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
72,0,0,0,73.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
73,0,1,0,14.4542,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
74,1,0,0,56.4958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
75,0,0,0,7.65,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
76,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
77,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
78,1,0,2,29.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
79,1,0,0,12.475,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
80,0,0,0,9.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
81,1,0,0,9.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
82,1,0,0,7.7875,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
83,0,0,0,47.1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
84,1,0,0,10.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
85,1,3,0,15.85,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
86,0,1,3,34.375,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
87,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
88,1,3,2,263.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
89,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
90,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
91,0,0,0,7.8542,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
92,0,1,0,61.175,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
93,0,1,2,20.575,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
94,0,0,0,7.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
95,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
96,0,0,0,34.6542,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
97,1,0,1,63.3583,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
98,1,0,1,23.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
99,0,1,0,26.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
100,0,0,0,7.8958,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
101,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
102,0,0,1,77.2875,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
103,0,0,0,8.6542,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
104,0,2,0,7.925,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
105,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
106,1,0,0,7.65,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
107,1,0,0,7.775,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
108,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
109,1,1,0,24.15,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
110,0,0,0,52.0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
111,0,1,0,14.4542,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
112,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
113,0,1,0,9.825,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
114,0,0,0,14.4583,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
115,0,0,0,7.925,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
116,0,0,0,7.75,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
117,0,1,0,21.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
118,0,0,1,247.5208,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
119,0,4,2,31.275,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
120,0,2,0,73.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
121,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
122,0,1,0,30.0708,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
123,1,0,0,13.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
124,0,0,1,77.2875,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
125,1,1,0,11.2417,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
126,0,0,0,7.75,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
127,1,0,0,7.1417,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
128,1,1,1,22.3583,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
129,0,0,0,6.975,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
130,0,0,0,7.8958,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
131,0,0,0,7.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
132,0,1,0,14.5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
133,1,1,0,26.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
134,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
135,0,0,0,15.0458,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
136,1,0,2,26.2833,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
137,0,1,0,53.1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
138,0,0,0,9.2167,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
139,0,0,0,79.2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
140,0,0,2,15.2458,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
141,1,0,0,7.75,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
142,1,1,0,15.85,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
143,0,0,0,6.75,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
144,0,0,0,11.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
145,0,1,1,36.75,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
146,1,0,0,7.7958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
147,0,2,2,34.375,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
148,0,0,2,26.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
149,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
150,0,0,0,12.525,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
151,1,1,0,66.6,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
152,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
153,0,0,2,14.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
154,0,0,0,7.3125,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
155,0,0,1,61.3792,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
156,1,0,0,7.7333,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
157,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
158,0,0,0,8.6625,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
159,0,8,2,69.55,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
160,0,0,1,16.1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
161,1,0,0,15.75,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
162,0,0,0,7.775,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
163,0,0,0,8.6625,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
164,0,4,1,39.6875,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
165,1,0,2,20.525,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
166,1,0,1,55.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
167,0,1,4,27.9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
168,0,0,0,25.925,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
169,0,0,0,56.4958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
170,0,0,0,33.5,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
171,0,4,1,29.125,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
172,1,1,1,11.1333,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
173,0,0,0,7.925,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
174,0,0,0,30.6958,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
175,0,1,1,7.8542,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
176,0,3,1,25.4667,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
177,0,0,0,28.7125,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
178,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
179,0,0,0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
180,0,8,2,69.55,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
181,0,0,0,15.05,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
182,0,4,2,31.3875,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
183,1,2,1,39.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
184,1,0,2,22.025,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
185,0,0,0,50.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
186,1,1,0,15.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
187,1,0,0,26.55,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
188,0,1,1,15.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
189,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
190,1,0,0,13.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
191,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
192,1,1,0,7.8542,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
193,1,1,1,26.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
194,1,0,0,27.7208,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
195,1,0,0,146.5208,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
196,0,0,0,7.75,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
197,0,0,1,8.4042,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
198,1,0,0,7.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
199,0,0,0,13.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
200,0,0,0,9.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
201,0,8,2,69.55,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
202,0,0,0,6.4958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
203,0,0,0,7.225,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
204,1,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
205,0,0,1,10.4625,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
206,0,1,0,15.85,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
207,1,0,0,18.7875,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
208,1,0,0,7.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
209,1,0,0,31.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
210,0,0,0,7.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
211,1,0,0,21.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
212,0,0,0,7.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
213,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
214,0,1,0,7.75,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
215,1,1,0,113.275,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
216,1,0,0,7.925,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
217,0,1,0,27.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
218,1,0,0,76.2917,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
219,0,0,0,10.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
220,1,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
221,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
222,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
223,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
224,1,1,0,90.0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
225,0,0,0,9.35,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
226,1,0,0,10.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
227,0,0,0,7.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
228,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
229,0,3,1,25.4667,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
230,1,1,0,83.475,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
231,0,0,0,7.775,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
232,0,0,0,13.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
233,1,4,2,31.3875,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
234,0,0,0,10.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
235,0,0,0,7.55,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
236,0,1,0,26.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
237,1,0,2,26.25,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
238,0,0,0,10.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
239,0,0,0,12.275,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
240,0,1,0,14.4542,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
241,1,1,0,15.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
242,0,0,0,10.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
243,0,0,0,7.125,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
244,0,0,0,7.225,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
245,0,2,0,90.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
246,0,0,0,7.775,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
247,1,0,2,14.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
248,1,1,1,52.5542,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
249,0,1,0,26.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
250,0,0,0,7.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
251,0,1,1,10.4625,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
252,0,0,0,26.55,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
