,Age,Fare,Embarked_C,Embarked_S,SibSp,Embarked_Q
59,11.0,46.9,False,True,5,False
60,22.0,7.2292,True,False,0,False
62,45.0,83.475,False,True,1,False
63,4.0,27.9,False,True,3,False
64,,27.7208,True,False,0,False
65,,15.2458,True,False,1,False
66,29.0,10.5,False,True,0,False
67,19.0,8.1583,False,True,0,False
68,17.0,7.925,False,True,4,False
69,26.0,8.6625,False,True,2,False
70,32.0,10.5,False,True,0,False
71,16.0,46.9,False,True,5,False
72,21.0,73.5,False,True,0,False
73,26.0,14.4542,True,False,1,False
74,32.0,56.4958,False,True,0,False
75,25.0,7.65,False,True,0,False
76,,7.8958,False,True,0,False
77,,8.05,False,True,0,False
78,0.83,29.0,False,True,0,False
79,30.0,12.475,False,True,0,False
80,22.0,9.0,False,True,0,False
81,29.0,9.5,False,True,0,False
82,,7.7875,False,False,0,True
83,28.0,47.1,False,True,0,False
84,17.0,10.5,False,True,0,False
85,33.0,15.85,False,True,3,False
86,16.0,34.375,False,True,1,False
87,,8.05,False,True,0,False
88,23.0,263.0,False,True,3,False
89,24.0,8.05,False,True,0,False
90,29.0,8.05,False,True,0,False
91,20.0,7.8542,False,True,0,False
92,46.0,61.175,False,True,1,False
93,26.0,20.575,False,True,1,False
94,59.0,7.25,False,True,0,False
95,,8.05,False,True,0,False
96,71.0,34.6542,True,False,0,False
97,23.0,63.3583,True,False,0,False
98,34.0,23.0,False,True,0,False
99,34.0,26.0,False,True,1,False
100,28.0,7.8958,False,True,0,False
101,,7.8958,False,True,0,False
102,21.0,77.2875,False,True,0,False
103,33.0,8.6542,False,True,0,False
104,37.0,7.925,False,True,2,False
105,28.0,7.8958,False,True,0,False
106,21.0,7.65,False,True,0,False
107,,7.775,False,True,0,False
108,38.0,7.8958,False,True,0,False
109,,24.15,False,False,1,True
110,47.0,52.0,False,True,0,False
111,14.5,14.4542,True,False,1,False
112,22.0,8.05,False,True,0,False
113,20.0,9.825,False,True,1,False
114,17.0,14.4583,True,False,0,False
115,21.0,7.925,False,True,0,False
116,70.5,7.75,False,False,0,True
117,29.0,21.0,False,True,1,False
118,24.0,247.5208,True,False,0,False
119,2.0,31.275,False,True,4,False
120,21.0,73.5,False,True,2,False
121,,8.05,False,True,0,False
122,32.5,30.0708,True,False,1,False
123,32.5,13.0,False,True,0,False
124,54.0,77.2875,False,True,0,False
125,12.0,11.2417,True,False,1,False
126,,7.75,False,False,0,True
127,24.0,7.1417,False,True,0,False
128,,22.3583,True,False,1,False
129,45.0,6.975,False,True,0,False
130,33.0,7.8958,True,False,0,False
131,20.0,7.05,False,True,0,False
132,47.0,14.5,False,True,1,False
133,29.0,26.0,False,True,1,False
134,25.0,13.0,False,True,0,False
135,23.0,15.0458,True,False,0,False
136,19.0,26.2833,False,True,0,False
137,37.0,53.1,False,True,1,False
138,16.0,9.2167,False,True,0,False
139,24.0,79.2,True,False,0,False
140,,15.2458,True,False,0,False
141,22.0,7.75,False,True,0,False
142,24.0,15.85,False,True,1,False
143,19.0,6.75,False,False,0,True
144,18.0,11.5,False,True,0,False
145,19.0,36.75,False,True,1,False
146,27.0,7.7958,False,True,0,False
147,9.0,34.375,False,True,2,False
148,36.5,26.0,False,True,0,False
149,42.0,13.0,False,True,0,False
150,51.0,12.525,False,True,0,False
151,22.0,66.6,False,True,1,False
152,55.5,8.05,False,True,0,False
153,40.5,14.5,False,True,0,False
154,,7.3125,False,True,0,False
155,51.0,61.3792,True,False,0,False
156,16.0,7.7333,False,False,0,True
157,30.0,8.05,False,True,0,False
158,,8.6625,False,True,0,False
159,,69.55,False,True,8,False
160,44.0,16.1,False,True,0,False
161,40.0,15.75,False,True,0,False
162,26.0,7.775,False,True,0,False
163,17.0,8.6625,False,True,0,False
164,1.0,39.6875,False,True,4,False
165,9.0,20.525,False,True,0,False
166,,55.0,False,True,0,False
167,45.0,27.9,False,True,1,False
168,,25.925,False,True,0,False
169,28.0,56.4958,False,True,0,False
170,61.0,33.5,False,True,0,False
171,4.0,29.125,False,False,4,True
172,1.0,11.1333,False,True,1,False
173,21.0,7.925,False,True,0,False
174,56.0,30.6958,True,False,0,False
175,18.0,7.8542,False,True,1,False
176,,25.4667,False,True,3,False
177,50.0,28.7125,True,False,0,False
178,30.0,13.0,False,True,0,False
179,36.0,0.0,False,True,0,False
180,,69.55,False,True,8,False
181,,15.05,True,False,0,False
182,9.0,31.3875,False,True,4,False
183,1.0,39.0,False,True,2,False
184,4.0,22.025,False,True,0,False
185,,50.0,False,True,0,False
186,,15.5,False,False,1,True
187,45.0,26.55,False,True,0,False
188,40.0,15.5,False,False,1,True
189,36.0,7.8958,False,True,0,False
190,32.0,13.0,False,True,0,False
191,19.0,13.0,False,True,0,False
192,19.0,7.8542,False,True,1,False
193,3.0,26.0,False,True,1,False
194,44.0,27.7208,True,False,0,False
195,58.0,146.5208,True,False,0,False
196,,7.75,False,False,0,True
197,42.0,8.4042,False,True,0,False
198,,7.75,False,False,0,True
199,24.0,13.0,False,True,0,False
200,28.0,9.5,False,True,0,False
201,,69.55,False,True,8,False
202,34.0,6.4958,False,True,0,False
203,45.5,7.225,True,False,0,False
204,18.0,8.05,False,True,0,False
205,2.0,10.4625,False,True,0,False
206,32.0,15.85,False,True,1,False
207,26.0,18.7875,True,False,0,False
208,16.0,7.75,False,False,0,True
209,40.0,31.0,True,False,0,False
210,24.0,7.05,False,True,0,False
211,35.0,21.0,False,True,0,False
212,22.0,7.25,False,True,0,False
213,30.0,13.0,False,True,0,False
214,,7.75,False,False,1,True
215,31.0,113.275,True,False,1,False
216,27.0,7.925,False,True,0,False
217,42.0,27.0,False,True,1,False
218,32.0,76.2917,True,False,0,False
219,30.0,10.5,False,True,0,False
220,16.0,8.05,False,True,0,False
221,27.0,13.0,False,True,0,False
222,51.0,8.05,False,True,0,False
223,,7.8958,False,True,0,False
224,38.0,90.0,False,True,1,False
225,22.0,9.35,False,True,0,False
226,19.0,10.5,False,True,0,False
227,20.5,7.25,False,True,0,False
228,18.0,13.0,False,True,0,False
229,,25.4667,False,True,3,False
230,35.0,83.475,False,True,1,False
231,29.0,7.775,False,True,0,False
232,59.0,13.5,False,True,0,False
233,5.0,31.3875,False,True,4,False
234,24.0,10.5,False,True,0,False
235,,7.55,False,True,0,False
236,44.0,26.0,False,True,1,False
237,8.0,26.25,False,True,0,False
238,19.0,10.5,False,True,0,False
239,33.0,12.275,False,True,0,False
240,,14.4542,True,False,1,False
241,,15.5,False,False,1,True
242,29.0,10.5,False,True,0,False
243,22.0,7.125,False,True,0,False
244,30.0,7.225,True,False,0,False
245,44.0,90.0,False,False,2,True
246,25.0,7.775,False,True,0,False
247,24.0,14.5,False,True,0,False
248,37.0,52.5542,False,True,1,False
249,54.0,26.0,False,True,1,False
250,,7.25,False,True,0,False
251,29.0,10.4625,False,True,1,False
252,62.0,26.55,False,True,0,False
253,30.0,16.1,False,True,1,False
254,41.0,20.2125,False,True,0,False
255,29.0,15.2458,True,False,0,False
256,,79.2,True,False,0,False
257,30.0,86.5,False,True,0,False
258,35.0,512.3292,True,False,0,False
259,50.0,26.0,False,True,0,False
260,,7.75,False,False,0,True
261,3.0,31.3875,False,True,4,False
262,52.0,79.65,False,True,1,False
263,40.0,0.0,False,True,0,False
264,,7.75,False,False,0,True
265,36.0,10.5,False,True,0,False
266,16.0,39.6875,False,True,4,False
267,25.0,7.775,False,True,1,False
268,58.0,153.4625,False,True,0,False
269,35.0,135.6333,False,True,0,False
270,,31.0,False,True,0,False
271,25.0,0.0,False,True,0,False
272,41.0,19.5,False,True,0,False
273,37.0,29.7,True,False,0,False
274,,7.75,False,False,0,True
275,63.0,77.9583,False,True,1,False
276,45.0,7.75,False,True,0,False
277,,0.0,False,True,0,False
278,7.0,29.125,False,False,4,True
279,35.0,20.25,False,True,1,False
280,65.0,7.75,False,False,0,True
281,28.0,7.8542,False,True,0,False
282,16.0,9.5,False,True,0,False
283,19.0,8.05,False,True,0,False
284,,26.0,False,True,0,False
285,33.0,8.6625,True,False,0,False
286,30.0,9.5,False,True,0,False
287,22.0,7.8958,False,True,0,False
288,42.0,13.0,False,True,0,False
289,22.0,7.75,False,False,0,True
290,26.0,78.85,False,True,0,False
291,19.0,91.0792,True,False,1,False
292,36.0,12.875,True,False,0,False
293,24.0,8.85,False,True,0,False
294,24.0,7.8958,False,True,0,False
295,,27.7208,True,False,0,False
296,23.5,7.2292,True,False,0,False
297,2.0,151.55,False,True,1,False
298,,30.5,False,True,0,False
299,50.0,247.5208,True,False,0,False
300,,7.75,False,False,0,True
301,,23.25,False,False,2,True
302,19.0,0.0,False,True,0,False
303,,12.35,False,False,0,True
304,,8.05,False,True,0,False
305,0.92,151.55,False,True,1,False
306,,110.8833,True,False,0,False
307,17.0,108.9,True,False,1,False
308,30.0,24.0,True,False,1,False
309,30.0,56.9292,True,False,0,False
310,24.0,83.1583,True,False,0,False
311,18.0,262.375,True,False,2,False
312,26.0,26.0,False,True,1,False
313,28.0,7.8958,False,True,0,False
314,43.0,26.25,False,True,1,False
315,26.0,7.8542,False,True,0,False
316,24.0,26.0,False,True,1,False
317,54.0,14.0,False,True,0,False
318,31.0,164.8667,False,True,0,False
319,40.0,134.5,True,False,1,False
320,22.0,7.25,False,True,0,False
321,27.0,7.8958,False,True,0,False
322,30.0,12.35,False,False,0,True
323,22.0,29.0,False,True,1,False
324,,69.55,False,True,8,False
325,36.0,135.6333,True,False,0,False
326,61.0,6.2375,False,True,0,False
327,36.0,13.0,False,True,0,False
328,31.0,20.525,False,True,1,False
329,16.0,57.9792,True,False,0,False
330,,23.25,False,False,2,True
331,45.5,28.5,False,True,0,False
332,38.0,153.4625,False,True,0,False
333,16.0,18.0,False,True,2,False
334,,133.65,False,True,1,False
335,,7.8958,False,True,0,False
336,29.0,66.6,False,True,1,False
337,41.0,134.5,True,False,0,False
338,45.0,8.05,False,True,0,False
339,45.0,35.5,False,True,0,False
340,2.0,26.0,False,True,1,False
341,24.0,263.0,False,True,3,False
342,28.0,13.0,False,True,0,False
343,25.0,13.0,False,True,0,False
344,36.0,13.0,False,True,0,False
345,24.0,13.0,False,True,0,False
346,40.0,13.0,False,True,0,False
347,,16.1,False,True,1,False
348,3.0,15.9,False,True,1,False
349,42.0,8.6625,False,True,0,False
350,23.0,9.225,False,True,0,False
351,,35.0,False,True,0,False
352,15.0,7.2292,True,False,1,False
353,25.0,17.8,False,True,1,False
354,,7.225,True,False,0,False
355,28.0,9.5,False,True,0,False
356,22.0,55.0,False,True,0,False
357,38.0,13.0,False,True,0,False
358,,7.8792,False,False,0,True
359,,7.8792,False,False,0,True
360,40.0,27.9,False,True,1,False
361,29.0,27.7208,True,False,1,False
362,45.0,14.4542,True,False,0,False
363,35.0,7.05,False,True,0,False
364,,15.5,False,False,1,True
365,30.0,7.25,False,True,0,False
366,60.0,75.25,True,False,1,False
367,,7.2292,True,False,0,False
368,,7.75,False,False,0,True
369,24.0,69.3,True,False,0,False
370,25.0,55.4417,True,False,1,False
371,18.0,6.4958,False,True,1,False
372,19.0,8.05,False,True,0,False
373,22.0,135.6333,True,False,0,False
374,3.0,21.075,False,True,3,False
375,,82.1708,True,False,1,False
376,22.0,7.25,False,True,0,False
377,27.0,211.5,True,False,0,False
378,20.0,4.0125,True,False,0,False
379,19.0,7.775,False,True,0,False
380,42.0,227.525,True,False,0,False
381,1.0,15.7417,True,False,0,False
382,32.0,7.925,False,True,0,False
383,35.0,52.0,False,True,1,False
384,,7.8958,False,True,0,False
385,18.0,73.5,False,True,0,False
386,1.0,46.9,False,True,5,False
387,36.0,13.0,False,True,0,False
388,,7.7292,False,False,0,True
389,17.0,12.0,True,False,0,False
390,36.0,120.0,False,True,1,False
391,21.0,7.7958,False,True,0,False
392,28.0,7.925,False,True,2,False
393,23.0,113.275,True,False,1,False
394,24.0,16.7,False,True,0,False
395,22.0,7.7958,False,True,0,False
396,31.0,7.8542,False,True,0,False
397,46.0,26.0,False,True,0,False
398,23.0,10.5,False,True,0,False
399,28.0,12.65,False,True,0,False
400,39.0,7.925,False,True,0,False
401,26.0,8.05,False,True,0,False
402,21.0,9.825,False,True,1,False
403,28.0,15.85,False,True,1,False
404,20.0,8.6625,False,True,0,False
405,34.0,21.0,False,True,1,False
406,51.0,7.75,False,True,0,False
407,3.0,18.75,False,True,1,False
408,21.0,7.775,False,True,0,False
409,,25.4667,False,True,3,False
410,,7.8958,False,True,0,False
411,,6.8583,False,False,0,True
412,33.0,90.0,False,False,1,True
413,,0.0,False,True,0,False
414,44.0,7.925,False,True,0,False
415,,8.05,False,True,0,False
416,34.0,32.5,False,True,1,False
417,18.0,13.0,False,True,0,False
418,30.0,13.0,False,True,0,False
419,10.0,24.15,False,True,0,False
420,,7.8958,True,False,0,False
421,21.0,7.7333,False,False,0,True
422,29.0,7.875,False,True,0,False
423,28.0,14.4,False,True,1,False
424,18.0,20.2125,False,True,1,False
425,,7.25,False,True,0,False
426,28.0,26.0,False,True,1,False
427,19.0,26.0,False,True,0,False
428,,7.75,False,False,0,True
429,32.0,8.05,False,True,0,False
430,28.0,26.55,False,True,0,False
431,,16.1,False,True,1,False
432,42.0,26.0,False,True,1,False
433,17.0,7.125,False,True,0,False
434,50.0,55.9,False,True,1,False
435,14.0,120.0,False,True,1,False
436,21.0,34.375,False,True,2,False
437,24.0,18.75,False,True,2,False
438,64.0,263.0,False,True,1,False
439,31.0,10.5,False,True,0,False
440,45.0,26.25,False,True,1,False
441,20.0,9.5,False,True,0,False
442,25.0,7.775,False,True,1,False
443,28.0,13.0,False,True,0,False
444,,8.1125,False,True,0,False
445,4.0,81.8583,False,True,0,False
446,13.0,19.5,False,True,0,False
447,34.0,26.55,False,True,0,False
448,5.0,19.2583,True,False,2,False
449,52.0,30.5,False,True,0,False
450,36.0,27.75,False,True,1,False
451,,19.9667,False,True,1,False
452,30.0,27.75,True,False,0,False
453,49.0,89.1042,True,False,1,False
454,,8.05,False,True,0,False
455,29.0,7.8958,True,False,0,False
456,65.0,26.55,False,True,0,False
457,,51.8625,False,True,1,False
458,50.0,10.5,False,True,0,False
459,,7.75,False,False,0,True
460,48.0,26.55,False,True,0,False
461,34.0,8.05,False,True,0,False
462,47.0,38.5,False,True,0,False
463,48.0,13.0,False,True,0,False
464,,8.05,False,True,0,False
465,38.0,7.05,False,True,0,False
466,,0.0,False,True,0,False
467,56.0,26.55,False,True,0,False
468,,7.725,False,False,0,True
469,0.75,19.2583,True,False,2,False
470,,7.25,False,True,0,False
471,38.0,8.6625,False,True,0,False
472,33.0,27.75,False,True,1,False
473,23.0,13.7917,True,False,0,False
474,22.0,9.8375,False,True,0,False
475,,52.0,False,True,0,False
476,34.0,21.0,False,True,1,False
477,29.0,7.0458,False,True,1,False
478,22.0,7.5208,False,True,0,False
479,2.0,12.2875,False,True,0,False
480,9.0,46.9,False,True,5,False
481,,0.0,False,True,0,False
482,50.0,8.05,False,True,0,False
483,63.0,9.5875,False,True,0,False
484,25.0,91.0792,True,False,1,False
485,,25.4667,False,True,3,False
486,35.0,90.0,False,True,1,False
487,58.0,29.7,True,False,0,False
488,30.0,8.05,False,True,0,False
489,9.0,15.9,False,True,1,False
490,,19.9667,False,True,1,False
491,21.0,7.25,False,True,0,False
492,55.0,30.5,False,True,0,False
493,71.0,49.5042,True,False,0,False
494,21.0,8.05,False,True,0,False
495,,14.4583,True,False,0,False
496,54.0,78.2667,True,False,1,False
497,,15.1,False,True,0,False
498,25.0,151.55,False,True,1,False
499,24.0,7.7958,False,True,0,False
500,17.0,8.6625,False,True,0,False
501,21.0,7.75,False,False,0,True
502,,7.6292,False,False,0,True
503,37.0,9.5875,False,True,0,False
504,16.0,86.5,False,True,0,False
505,18.0,108.9,True,False,1,False
506,33.0,26.0,False,True,0,False
507,,26.55,False,True,0,False
508,28.0,22.525,False,True,0,False
509,26.0,56.4958,False,True,0,False
510,29.0,7.75,False,False,0,True
511,,8.05,False,True,0,False
512,36.0,26.2875,False,True,0,False
513,54.0,59.4,True,False,1,False
514,24.0,7.4958,False,True,0,False
515,47.0,34.0208,False,True,0,False
516,34.0,10.5,False,True,0,False
517,,24.15,False,False,0,True
518,36.0,26.0,False,True,1,False
519,32.0,7.8958,False,True,0,False
520,30.0,93.5,False,True,0,False
521,22.0,7.8958,False,True,0,False
522,,7.225,True,False,0,False
523,44.0,57.9792,True,False,0,False
524,,7.2292,True,False,0,False
525,40.5,7.75,False,False,0,True
526,50.0,10.5,False,True,0,False
527,,221.7792,False,True,0,False
528,39.0,7.925,False,True,0,False
529,23.0,11.5,False,True,2,False
530,2.0,26.0,False,True,1,False
531,,7.2292,True,False,0,False
532,17.0,7.2292,True,False,1,False
533,,22.3583,True,False,0,False
534,30.0,8.6625,False,True,0,False
535,7.0,26.25,False,True,0,False
536,45.0,26.55,False,True,0,False
537,30.0,106.425,True,False,0,False
538,,14.5,False,True,0,False
539,22.0,49.5,True,False,0,False
540,36.0,71.0,False,True,0,False
541,9.0,31.275,False,True,4,False
542,11.0,31.275,False,True,4,False
543,32.0,26.0,False,True,1,False
544,50.0,106.425,True,False,1,False
545,64.0,26.0,False,True,0,False
546,19.0,26.0,False,True,1,False
547,,13.8625,True,False,0,False
548,33.0,20.525,False,True,1,False
549,8.0,36.75,False,True,1,False
550,17.0,110.8833,True,False,0,False
551,27.0,26.0,False,True,0,False
552,,7.8292,False,False,0,True
553,22.0,7.225,True,False,0,False
554,22.0,7.775,False,True,0,False
555,62.0,26.55,False,True,0,False
556,48.0,39.6,True,False,1,False
557,,227.525,True,False,0,False
558,39.0,79.65,False,True,1,False
559,36.0,17.4,False,True,1,False
560,,7.75,False,False,0,True
561,40.0,7.8958,False,True,0,False
562,28.0,13.5,False,True,0,False
563,,8.05,False,True,0,False
564,,8.05,False,True,0,False
565,24.0,24.15,False,True,2,False
566,19.0,7.8958,False,True,0,False
567,29.0,21.075,False,True,0,False
568,,7.2292,True,False,0,False
569,32.0,7.8542,False,True,0,False
570,62.0,10.5,False,True,0,False
571,53.0,51.4792,False,True,2,False
572,36.0,26.3875,False,True,0,False
573,,7.75,False,False,0,True
574,16.0,8.05,False,True,0,False
575,19.0,14.5,False,True,0,False
576,34.0,13.0,False,True,0,False
577,39.0,55.9,False,True,1,False
578,,14.4583,True,False,1,False
579,32.0,7.925,False,True,0,False
580,25.0,30.0,False,True,1,False
581,39.0,110.8833,True,False,1,False
582,54.0,26.0,False,True,0,False
583,36.0,40.125,True,False,0,False
584,,8.7125,True,False,0,False
585,18.0,79.65,False,True,0,False
586,47.0,15.0,False,True,0,False
587,60.0,79.2,True,False,1,False
588,22.0,8.05,False,True,0,False
589,,8.05,False,True,0,False
590,35.0,7.125,False,True,0,False
591,52.0,78.2667,True,False,1,False
592,47.0,7.25,False,True,0,False
593,,7.75,False,False,0,True
594,37.0,26.0,False,True,1,False
595,36.0,24.15,False,True,1,False
596,,33.0,False,True,0,False
597,49.0,0.0,False,True,0,False
598,,7.225,True,False,0,False
599,49.0,56.9292,True,False,1,False
600,24.0,27.0,False,True,2,False
601,,7.8958,False,True,0,False
602,,42.4,False,True,0,False
603,44.0,8.05,False,True,0,False
604,35.0,26.55,True,False,0,False
605,36.0,15.55,False,True,1,False
606,30.0,7.8958,False,True,0,False
607,27.0,30.5,False,True,0,False
608,22.0,41.5792,True,False,1,False
609,40.0,153.4625,False,True,0,False
610,39.0,31.275,False,True,1,False
611,,7.05,False,True,0,False
612,,15.5,False,False,1,True
613,,7.75,False,False,0,True
614,35.0,8.05,False,True,0,False
615,24.0,65.0,False,True,1,False
616,34.0,14.4,False,True,1,False
617,26.0,16.1,False,True,1,False
618,4.0,39.0,False,True,2,False
619,26.0,10.5,False,True,0,False
620,27.0,14.4542,True,False,1,False
621,42.0,52.5542,False,True,1,False
622,20.0,15.7417,True,False,1,False
623,21.0,7.8542,False,True,0,False
624,21.0,16.1,False,True,0,False
625,61.0,32.3208,False,True,0,False
626,57.0,12.35,False,False,0,True
627,21.0,77.9583,False,True,0,False
628,26.0,7.8958,False,True,0,False
629,,7.7333,False,False,0,True
630,80.0,30.0,False,True,0,False
631,51.0,7.0542,False,True,0,False
632,32.0,30.5,True,False,0,False
633,,0.0,False,True,0,False
634,9.0,27.9,False,True,3,False
635,28.0,13.0,False,True,0,False
636,32.0,7.925,False,True,0,False
637,31.0,26.25,False,True,1,False
638,41.0,39.6875,False,True,0,False
639,,16.1,False,True,1,False
640,20.0,7.8542,False,True,0,False
641,24.0,69.3,True,False,0,False
642,2.0,27.9,False,True,3,False
643,,56.4958,False,True,0,False
644,0.75,19.2583,True,False,2,False
645,48.0,76.7292,True,False,1,False
646,19.0,7.8958,False,True,0,False
647,56.0,35.5,True,False,0,False
648,,7.55,False,True,0,False
649,23.0,7.55,False,True,0,False
650,,7.8958,False,True,0,False
651,18.0,23.0,False,True,0,False
652,21.0,8.4333,False,True,0,False
653,,7.8292,False,False,0,True
654,18.0,6.75,False,False,0,True
655,24.0,73.5,False,True,2,False
656,,7.8958,False,True,0,False
657,32.0,15.5,False,False,1,True
658,23.0,13.0,False,True,0,False
659,58.0,113.275,True,False,0,False
660,50.0,133.65,False,True,2,False
661,40.0,7.225,True,False,0,False
662,47.0,25.5875,False,True,0,False
663,36.0,7.4958,False,True,0,False
664,20.0,7.925,False,True,1,False
665,32.0,73.5,False,True,2,False
666,25.0,13.0,False,True,0,False
667,,7.775,False,True,0,False
668,43.0,8.05,False,True,0,False
669,,52.0,False,True,1,False
670,40.0,39.0,False,True,1,False
671,31.0,52.0,False,True,1,False
672,70.0,10.5,False,True,0,False
673,31.0,13.0,False,True,0,False
674,,0.0,False,True,0,False
675,18.0,7.775,False,True,0,False
676,24.5,8.05,False,True,0,False
677,18.0,9.8417,False,True,0,False
678,43.0,46.9,False,True,1,False
679,36.0,512.3292,True,False,0,False
680,,8.1375,False,False,0,True
681,27.0,76.7292,True,False,0,False
682,20.0,9.225,False,True,0,False
683,14.0,46.9,False,True,5,False
684,60.0,39.0,False,True,1,False
685,25.0,41.5792,True,False,1,False
686,14.0,39.6875,False,True,4,False
687,19.0,10.1708,False,True,0,False
688,18.0,7.7958,False,True,0,False
689,15.0,211.3375,False,True,0,False
690,31.0,57.0,False,True,1,False
691,4.0,13.4167,True,False,0,False
692,,56.4958,False,True,0,False
693,25.0,7.225,True,False,0,False
694,60.0,26.55,False,True,0,False
695,52.0,13.5,False,True,0,False
696,44.0,8.05,False,True,0,False
697,,7.7333,False,False,0,True
698,49.0,110.8833,True,False,1,False
699,42.0,7.65,False,True,0,False
700,18.0,227.525,True,False,1,False
701,35.0,26.2875,False,True,0,False
702,18.0,14.4542,True,False,0,False
703,25.0,7.7417,False,False,0,True
704,26.0,7.8542,False,True,1,False
705,39.0,26.0,False,True,0,False
706,45.0,13.5,False,True,0,False
707,42.0,26.2875,False,True,0,False
708,22.0,151.55,False,True,0,False
709,,15.2458,True,False,1,False
710,24.0,49.5042,True,False,0,False
711,,26.55,False,True,0,False
712,48.0,52.0,False,True,1,False
713,29.0,9.4833,False,True,0,False
714,52.0,13.0,False,True,0,False
715,19.0,7.65,False,True,0,False
716,38.0,227.525,True,False,0,False
717,27.0,10.5,False,True,0,False
718,,15.5,False,False,0,True
719,33.0,7.775,False,True,0,False
720,6.0,33.0,False,True,0,False
721,17.0,7.0542,False,True,1,False
722,34.0,13.0,False,True,0,False
723,50.0,13.0,False,True,0,False
724,27.0,53.1,False,True,1,False
725,20.0,8.6625,False,True,0,False
726,30.0,21.0,False,True,3,False
727,,7.7375,False,False,0,True
728,25.0,26.0,False,True,1,False
729,25.0,7.925,False,True,1,False
730,29.0,211.3375,False,True,0,False
731,11.0,18.7875,True,False,0,False
732,,0.0,False,True,0,False
733,23.0,13.0,False,True,0,False
734,23.0,13.0,False,True,0,False
735,28.5,16.1,False,True,0,False
736,48.0,34.375,False,True,1,False
737,35.0,512.3292,True,False,0,False
738,,7.8958,False,True,0,False
739,,7.8958,False,True,0,False
740,,30.0,False,True,0,False
741,36.0,78.85,False,True,1,False
742,21.0,262.375,True,False,2,False
743,24.0,16.1,False,True,1,False
744,31.0,7.925,False,True,0,False
745,70.0,71.0,False,True,1,False
746,16.0,20.25,False,True,1,False
747,30.0,13.0,False,True,0,False
748,19.0,53.1,False,True,1,False
749,31.0,7.75,False,False,0,True
750,4.0,23.0,False,True,1,False
751,6.0,12.475,False,True,0,False
752,33.0,9.5,False,True,0,False
753,23.0,7.8958,False,True,0,False
754,48.0,65.0,False,True,1,False
755,0.67,14.5,False,True,1,False
756,28.0,7.7958,False,True,0,False
757,18.0,11.5,False,True,0,False
758,34.0,8.05,False,True,0,False
759,33.0,86.5,False,True,0,False
760,,14.5,False,True,0,False
761,41.0,7.125,False,True,0,False
762,20.0,7.2292,True,False,0,False
763,36.0,120.0,False,True,1,False
764,16.0,7.775,False,True,0,False
765,51.0,77.9583,False,True,1,False
766,,39.6,True,False,0,False
767,30.5,7.75,False,False,0,True
768,,24.15,False,False,1,True
769,32.0,8.3625,False,True,0,False
770,24.0,9.5,False,True,0,False
771,48.0,7.8542,False,True,0,False
772,57.0,10.5,False,True,0,False
773,,7.225,True,False,0,False
774,54.0,23.0,False,True,1,False
775,18.0,7.75,False,True,0,False
776,,7.75,False,False,0,True
777,5.0,12.475,False,True,0,False
778,,7.7375,False,False,0,True
779,43.0,211.3375,False,True,0,False
780,13.0,7.2292,True,False,0,False
781,17.0,57.0,False,True,1,False
782,29.0,30.0,False,True,0,False
783,,23.45,False,True,1,False
784,25.0,7.05,False,True,0,False
785,25.0,7.25,False,True,0,False
786,18.0,7.4958,False,True,0,False
